protein;glycolate;lactate;2-hydroxyglutarate;2-hydroxyoctanoate;2-hydroxystearate;mandelate
A0A073CBY9;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A085FLP7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A087D1R1;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
A0A087RXW1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0J6V898;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0L6Z980;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0M7LBC1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0P7WDX3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0U5JSS4;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A4YVE0;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
A9QH69;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE
B1HZY7;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
B7N6P4;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE
B7RR92;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
C0XIJ3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
C4VMW0;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
C9Y9E7;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
D4MUV9;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE
D4N087;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
D4XIR1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
F4G5A4;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
G6F8W6;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
I7IZ16;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
K0NHF1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
K4LGZ0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
M4KHX7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Q0K750;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Q5WIP4;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
S6BUT8;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
W6W585;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
